[Wed Oct 17 17:26:28.871753 2018] [php7:notice] [pid 4254] [client 127.0.0.1:41710] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 2
[Wed Oct 17 17:35:15.113023 2018] [php7:notice] [pid 9931] [client 127.0.0.1:43922] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 2
[Wed Oct 17 17:47:31.637259 2018] [php7:warn] [pid 4254] [client 127.0.0.1:47022] PHP Warning:  file_put_contents(images/2009535920.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/index.php on line 50
[Wed Oct 17 17:47:31.674801 2018] [php7:warn] [pid 4254] [client 127.0.0.1:47022] PHP Warning:  imagecreatefromstring(): Data is not in a recognized format in /var/www/html/rest_foods_ibm/index.php on line 54
[Wed Oct 17 17:47:31.674836 2018] [php7:warn] [pid 4254] [client 127.0.0.1:47022] PHP Warning:  imagerotate() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 56
[Wed Oct 17 17:47:31.674847 2018] [php7:warn] [pid 4254] [client 127.0.0.1:47022] PHP Warning:  imagejpeg() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 60
[Wed Oct 17 17:47:31.674853 2018] [php7:warn] [pid 4254] [client 127.0.0.1:47022] PHP Warning:  imagedestroy() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 62
[Wed Oct 17 17:48:24.158291 2018] [php7:warn] [pid 4255] [client 127.0.0.1:47260] PHP Warning:  file_put_contents(images/8726445.png): failed to open stream: Permission denied in /var/www/html/rest_foods_ibm/index.php on line 50
[Wed Oct 17 17:48:24.158541 2018] [php7:warn] [pid 4255] [client 127.0.0.1:47260] PHP Warning:  imagecreatefromstring(): Data is not in a recognized format in /var/www/html/rest_foods_ibm/index.php on line 54
[Wed Oct 17 17:48:24.158580 2018] [php7:warn] [pid 4255] [client 127.0.0.1:47260] PHP Warning:  imagerotate() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 56
[Wed Oct 17 17:48:24.158608 2018] [php7:warn] [pid 4255] [client 127.0.0.1:47260] PHP Warning:  imagejpeg() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 60
[Wed Oct 17 17:48:24.158629 2018] [php7:warn] [pid 4255] [client 127.0.0.1:47260] PHP Warning:  imagedestroy() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 62
